Country;1999;Country;2000;Country;2001;Country;2002;Country;2003;Country;2004;Country;2005;Country;2006;Country;2006;Country;2007;Country;2008;Country;2008;Country;2009;Country;2010;Country;2011;Country;2012;Country;2013;Country;2014;Country;2015;Country;2016;Country;2017;Country;2018;Country;2019;Country;2020;Country;2021;Country;2022;Country;2023;Country;2024
Argentina;304,809;Argentina;339,632;Argentina;235,558;Argentina;159,401;Argentina;169,176;Argentina;260,402;Argentina;319,755;Argentina;432,101;Argentina;544,647;Argentina;596,745;Argentina;512,924;Argentina;716,54;Argentina;512,924;Argentina;716,54;Argentina;828,771;Argentina;764,495;Argentina;791,007;Argentina;617,329;Argentina;533,683;Argentina;472,776;Argentina;472158;Argentina;466649;Argentina;314787;Argentina;257187;ARGENTINA;434753;ARGENTINA;536893;ARGENTINA;610 725;ARGENTINA;506 571
Australia;302,925;Australia;347,122;Australia;319,375;Australia;343,872;Australia;413,261;Australia;411,406;Australia;394,713;Australia;330,9;Australia;334,617;Australia;329,556;Australia;227,283;Australia;244,007;Australia;227,283;Australia;244,007;Australia;224,193;Australia;226,502;Australia;215,926;Australia;180,311;Australia;173,009;Australia;161,294;Australia;98632;Austria;164900;Austria;179400;Austria;104544;AUSTRIA;136700;AUSTRIA;107500;AUSTRIA;114 191;AUSTRIA;71 785
Austria;139,331;Austria;141,026;Austria;155,403;Austria;152,619;Austria;139,656;Austria;248,718;Austria;253,279;Austria;274,932;Austria;228,066;Austria;151,277;Austria;72,334;Austria;104,997;Austria;72,334;Austria;104,997;Austria;152,505;Austria;143,089;Austria;166,428;Austria;152;Austria;125,5;Austria;108;Austria;99880;Belgium;308493;Belgium;285797;Belgium;267460;BELGIUM;261038;BELGIUM;276554;BELGIUM;332 103;BELGIUM;240 366
Belgium;1,017,061;Belgium;1,033,294;Belgium;1,187,257;Belgium;1,057,189;Belgium;909,383;Belgium;900,273;Belgium;926,515;Belgium;918,056;Belgium;834,403;Belgium;724,498;Belgium;537,354;Belgium;555,302;Belgium;537,354;Belgium;555,302;Belgium;595,084;Belgium;538,848;Belgium;503,504;Belgium;516,831;Belgium;409,34;Belgium;399,427;Belgium;379140;Brazil;2879809;Brazil;2944988;Brazil;2014055;BRAZIL;2248253;BRAZIL;2369769;BRAZIL;2 324 838;BRAZIL;2 549 595
Brazil;1,350,828;Brazil;1,681,517;Brazil;1,817,237;Brazil;1,791,530;Brazil;1,827,791;Brazil;2,317,227;Brazil;2,530,840;Brazil;2,611,034;Brazil;2,977,150;Brazil;3,215,976;Brazil;3,182,923;Brazil;3,381,728;Brazil;3,182,923;Brazil;3,381,728;Brazil;3,407,861;Brazil;3,402,508;Brazil;3,712,380;Brazil;3,146,386;Brazil;2,429,463;Brazil;2,156,356;Brazil;2699672;Canada;2020840;Canada;1916585;Canada;1376623;CANADA;1115002;CANADA;1228735;CANADA;1 553 026;CANADA;1 342 647
Canada;3,058,813;Canada;2,961,636;Canada;2,532,742;Canada;2,629,437;Canada;2,552,862;Canada;2,711,536;Canada;2,687,892;Canada;2,572,292;Canada;2,578,790;Canada;2,082,241;Canada;1,490,482;Canada;2,068,189;Canada;1,490,482;Canada;2,068,189;Canada;2,135,121;Canada;2,463,364;Canada;2,379,834;Canada;2,394,154;Canada;2,283,474;Canada;2,370,271;Canada;2199789;China;27809196;China;25720665;China;25225242;CHINA;26082220;CHINA;27020615;CHINA;30 160 966;CHINA;31 281 592
China;1,829,953;China;2,069,069;China;2,334,440;China;3,286,804;China;4,443686;China;5,234,496;China;5,717,619;China;7,188,708;China;8,882,456;China;9,299,180;China;13,790,994;China;18,264,761;China;13,790,994;China;18,264,761;China;18,418,876;China;19,271,808;China;22,116,825;China;23,731,600;China;24,503,326;China;28,118,794;China;29015434;Colombia;72800;Czech Rep.;1433963;Czech Republic;1159151;CZECH REPUBLIC;1111432;CZECH REPUBLIC;1224456;CZECH REPUBLIC;1 404 501;CZECH REPUBLIC;1 458 892
Czech Rep.;376,261;Czech Rep.;455,492;Czech Rep.;465,268;Czech Rep.;447,088;Czech Rep.;441,699;Czech Rep.;448,36;Czech Rep.;602,237;Czech Rep.;854,907;Czech Rep.;938,648;Czech Rep.;946,567;Czech Rep.;983,243;Czech Rep.;1,076,384;Czech Rep.;983,243;Czech Rep.;1,076,384;Czech Rep.;1,199,845;Czech Rep.;1,178,995;Czech Rep.;1,132,931;Czech Rep.;1,251,220;Czech Rep.;1,303,603;Czech Rep.;1,349,896;Czech Rep.;1419993;Czech Rep.;1345041;Egypt;18500;Egypt;23754;EGYPT;23754;FINLAND;73044;FINLAND;30 191;FINLAND;22 384
Egypt;76,048;Egypt;59,765;Egypt;56,097;Egypt;45,173;Egypt;50,012;Egypt;49,335;Egypt;64,549;Egypt;91,518;Egypt;104,473;Egypt;119,86;Egypt;92,339;Egypt;116,683;Egypt;92,339;Egypt;116,683;Egypt;81,731;Egypt;56,48;Egypt;30,804;Egypt;42,515;Egypt;36;Egypt;36,23;Egypt;36640;Egypt;71600;Finland;114785;Finland;86270;FINLAND;93172;FRANCE;1383173;FRANCE;1 505 076;FRANCE;910 243
Finland;34,375;Finland;38,926;Finland;42,32;Finland;41,461;Finland;19,658;Finland;10,51;Finland;21,644;Finland;32,77;Finland;24,303;Finland;17,895;Finland;10,971;Finland;6,665;Finland;10,971;Finland;6,665;Finland;2,631;Finland;8,688;Finland;7,703;Finland;45,035;Finland;69,053;Finland;55,28;Finland;91598;Finland;112104;France;2202460;France;1316371;FRANCE;1351308;GERMANY;3677820;GERMANY;4 109 371;GERMANY;4 069 222
France;3,180,193;France;3,348,361;France;3,628,418;France;3,601,870;France;3,620,066;France;3,665,990;France;3,549,008;France;3,169,219;France;3,015,854;France;2,568,978;France;2,047,693;France;2,229,421;France;2,047,693;France;2,229,421;France;2,242,928;France;1,967,765;France;1,740,220;France;1,821,464;France;1,970,000;France;2,082,000;France;2227000;France;2270000;Germany;4661328;Germany;3742454;GERMANY;3308692;HUNGARY;441729;HUNGARY;507 225;HUNGARY;437 045
