Index;Year;"Rank
Order";"Country
code";Country or Area;City code;Urban Agglomeration;Note;Latitude;Longitude;Population (millions)
1;1950;6;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;5
2;1955;5;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;6
3;1960;6;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;7
4;1965;5;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;8
5;1970;5;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;8
6;1975;6;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;9
7;1980;6;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;10
8;1985;7;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;11
9;1990;7;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;11
10;1995;10;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;12
11;2000;11;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;13
12;2005;11;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;13
13;2010;12;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;14
14;2015;12;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;15
15;2020;15;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;15
16;2025;18;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;16
17;2030;20;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;16
18;2035;21;32;Argentina;20058;Buenos Aires;1;-34,6051;-58,4004;17
19;1950;27;50;Bangladesh;20119;Dhaka;2;23,7104;90,4074;0,5
20;1955;28;50;Bangladesh;20119;Dhaka;2;23,7104;90,4074;0,5
21;1960;28;50;Bangladesh;20119;Dhaka;2;23,7104;90,4074;1
22;1965;28;50;Bangladesh;20119;Dhaka;2;23,7104;90,4074;1
23;1970;28;50;Bangladesh;20119;Dhaka;2;23,7104;90,4074;1
24;1975;25;50;Bangladesh;20119;Dhaka;2;23,7104;90,4074;2
25;1980;23;50;Bangladesh;20119;Dhaka;2;23,7104;90,4074;3
26;1985;21;50;Bangladesh;20119;Dhaka;2;23,7104;90,4074;5
27;1990;20;50;Bangladesh;20119;Dhaka;2;23,7104;90,4074;7
