Index;Year;Rank_Order;LocID;Location;Notes;ISO3_Code;ISO2_Code;City_Code;City_Name;Capital;PWCent_Latitude;PWCent_Longitude;Population;Pop_plausibility;Land_area_km2;Built-up_area_km2
1;1975;1;392;Japan;;JPN;JP;6030;T?ky? (Tokyo);1;35,66;139,66;24.282;High;4594;1.063
2;1975;2;392;Japan;;JPN;JP;4490;Osaka;0;34,72;135,48;14.448;Moderate;2146;536
3;1975;3;840;United States of America;32;USA;US;8354;New York City;0;40,74;-73,93;12.076;High;2444;525
4;1975;4;360;Indonesia;;IDN;ID;5590;Jakarta;1;-6,34;106,84;11.696;High;2114;437
5;1975;5;484;Mexico;;MEX;MX;5439;Ciudad de México (Mexico City);1;19,43;-99,11;11.119;High;1659;458
6;1975;6;76;Brazil;;BRA;BR;7303;São Paulo;0;-23,58;-46,60;10.536;High;1761;451
7;1975;7;356;India;;IND;IN;11821;Kolkata;0;22,62;88,37;10.528;Low;779;147
8;1975;8;410;Republic of Korea;;KOR;KR;332;Seoul;1;37,52;126,96;10.079;Moderate;950;202
9;1975;9;32;Argentina;;ARG;AR;4459;Buenos Aires;1;-34,65;-58,49;8.561;High;1597;435
10;1975;10;643;Russian Federation;;RUS;RU;2485;Moskva (Moscow);1;55,75;37,64;8.521;Moderate;1263;195
11;1975;11;356;India;;IND;IN;7945;Mumbai;0;19,10;72,88;8.339;Low;514;67
12;1975;12;608;Philippines;;PHL;PH;2369;Manila;1;14,60;121,02;8.329;High;1015;205
13;1975;13;840;United States of America;32;USA;US;1725;Los Angeles;0;33,98;-118,18;7.718;Moderate;2691;831
14;1975;14;818;Egypt;;EGY;EG;4435;Al-Qahirah (Cairo);1;30,06;31,28;7.441;High;609;130
15;1975;15;250;France;26;FRA;FR;2994;Paris;1;48,85;2,35;7.424;High;1266;280
16;1975;16;826;United Kingdom;21;GBR;GB;5938;London;1;51,51;-0,13;7.370;High;1554;323
17;1975;17;356;India;;IND;IN;8364;New Delhi;1;28,78;76,95;6.092;Moderate;922;247
18;1975;18;76;Brazil;;BRA;BR;7935;Rio de Janeiro;0;-22,85;-43,37;5.881;High;1048;197
19;1975;19;392;Japan;;JPN;JP;5245;Nagoya;0;35,18;136,92;5.366;Moderate;1586;403
20;1975;20;792;Türkiye;;TUR;TR;2626;Istanbul;0;41,03;28,96;5.305;High;732;146
21;1975;21;156;China;5;CHN;CN;9020;Beijing;1;39,93;116,37;5.155;High;830;167
22;1975;22;50;Bangladesh;;BGD;BD;6249;Dhaka;1;24,33;90,38;5.037;High;728;75
23;1975;23;586;Pakistan;;PAK;PK;2578;Karachi;0;24,89;67,06;4.627;High;460;100
24;1975;24;156;China;5;CHN;CN;11738;Shanghai;0;31,22;121,44;4.543;High;706;133
25;1975;25;356;India;;IND;IN;10747;Chennai;0;13,06;80,23;4.484;Moderate;360;53
26;1975;26;586;Pakistan;;PAK;PK;8021;Lahore;0;31,55;74,30;4.403;Moderate;412;99
27;1975;27;364;Iran (Islamic Republic of);;IRN;IR;5264;Tehr?n (Tehran);1;35,67;51,34;4.265;High;658;138
28;1975;28;156;China;5;CHN;CN;10098;Shenyang;0;41,80;123,39;3.850;Moderate;300;73
29;1975;29;158;China, Taiwan Province of China;8;TWN;TW;12128;Taipei;1;25,05;121,54;3.691;High;494;90
30;1975;30;643;Russian Federation;;RUS;RU;568;Saint Petersburg;0;59,93;30,34;3.651;Moderate;450;84
31;1975;31;764;Thailand;;THA;TH;2286;Krung Thep Maha Nakhon (Bangkok);1;13,76;100,55;3.651;High;759;131
32;1975;32;360;Indonesia;;IDN;ID;7728;Surabaya;0;-7,37;112,70;3.643;High;711;120
33;1975;33;604;Peru;;PER;PE;1987;Lima;1;-12,06;-77,02;3.520;High;607;171
34;1975;34;360;Indonesia;;IDN;ID;5991;Bandung;0;-6,91;107,62;3.476;High;539;94
35;1975;35;840;United States of America;32;USA;US;7747;Chicago;0;41,87;-87,71;3.448;High;883;215
36;1975;36;170;Colombia;;COL;CO;3883;Bogotá;1;4,64;-74,11;3.390;High;394;105
37;1975;37;276;Germany;;DEU;DE;5576;Berlin;1;52,50;13,40;3.026;High;619;112
38;1975;38;300;Greece;;GRC;GR;833;Athína (Athens);1;37,99;23,73;3.003;Moderate;392;103
39;1975;39;724;Spain;25;ESP;ES;3440;Madrid;1;40,41;-3,71;2.952;Moderate;366;67
40;1975;40;344;China, Hong Kong SAR;6;HKG;HK;11566;Tamar (Hong Kong);1;22,31;114,18;2.878;Low;179;15
41;1975;41;276;Germany;;DEU;DE;675;Essen;0;51,49;6,98;2.851;High;843;136
42;1975;42;152;Chile;;CHL;CL;2380;Santiago;1;-33,48;-70,65;2.835;High;507;110
43;1975;43;156;China;5;CHN;CN;6602;Chengdu;0;30,67;104,05;2.814;Moderate;315;39
44;1975;44;356;India;;IND;IN;9913;Hyderabad;0;17,41;78,48;2.810;High;403;72
45;1975;45;818;Egypt;;EGY;EG;275;Alexandria;0;31,20;29,94;2.648;Moderate;245;39
46;1975;46;566;Nigeria;;NGA;NG;1265;Lagos;0;6,57;3,31;2.612;Low;605;211
47;1975;47;380;Italy;;ITA;IT;4726;Naples;0;40,86;14,31;2.594;High;513;98
48;1975;48;356;India;;IND;IN;6408;Ahmedabad;0;23,03;72,59;2.569;High;225;54
49;1975;49;156;China;5;CHN;CN;9414;Tianjin;0;39,13;117,20;2.567;High;267;58
50;1975;50;380;Italy;;ITA;IT;1848;Milan;0;45,51;9,19;2.545;High;478;101
51;1975;51;862;Venezuela (Bolivarian Republic of);;VEN;VE;3791;Caracas;1;10,48;-66,89;2.436;Moderate;257;39
52;1975;52;410;Republic of Korea;;KOR;KR;3878;Busan;0;35,16;129,05;2.426;Moderate;336;49
53;1975;53;356;India;;IND;IN;8616;Pune;0;18,54;73,85;2.412;Moderate;234;18
54;1975;54;704;Viet Nam;;VNM;VN;5435;Ho Chi Minh City;0;10,80;106,69;2.384;High;314;45
55;1975;55;356;India;;IND;IN;9949;Bengaluru;0;12,99;77,58;2.370;High;192;52
56;1975;56;826;United Kingdom;21;GBR;GB;3979;Birmingham;0;52,50;-1,96;2.250;High;635;130
57;1975;57;724;Spain;25;ESP;ES;5068;Barcelona;0;41,42;2,15;2.235;Moderate;257;60
58;1975;58;36;Australia;33;AUS;AU;2139;Sydney;0;-33,87;151,08;2.222;Moderate;1033;209
59;1975;59;826;United Kingdom;21;GBR;GB;3388;Manchester;0;53,50;-2,25;2.174;High;716;114
60;1975;60;104;Myanmar;;MMR;MM;5433;Yangon;0;16,85;96,15;2.163;High;349;43
61;1975;61;840;United States of America;32;USA;US;1233;San Francisco;0;37,81;-122,66;2.137;Moderate;759;189
62;1975;62;860;Uzbekistan;;UZB;UZ;3082;Toshkent (Tashkent);1;41,25;69,26;2.101;Moderate;381;84
63;1975;63;144;Sri Lanka;;LKA;LK;615;Sri Jayawardenepura Kotte - Colombo;1;6,93;79,89;2.053;Moderate;525;59
64;1975;64;356;India;;IND;IN;9603;Kanpur;0;26,46;80,35;2.053;Moderate;187;41
65;1975;65;368;Iraq;;IRQ;IQ;3303;Baghd?d (Baghdad);1;33,34;44,39;2.036;High;444;112
